"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","90","poc_ogpm_eps_1","eps_1","3.690884590148926"
"0.05","5002","100","poc_ogpm_eps_1","eps_1","3.789020538330078"
"0.05","5002","110","poc_ogpm_eps_1","eps_1","4.047877502441406"
"0.05","5002","120","poc_ogpm_eps_1","eps_1","3.907736968994141"
"0.05","5002","130","poc_ogpm_eps_1","eps_1","3.8072277069091798"
"0.05","5002","140","poc_ogpm_eps_1","eps_1","3.767622947692871"
"0.05","5002","150","poc_ogpm_eps_1","eps_1","3.910563659667969"
"0.05","5002","160","poc_ogpm_eps_1","eps_1","3.673648643493652"
"0.05","5002","170","poc_ogpm_eps_1","eps_1","3.841866397857666"
"0.05","5002","180","poc_ogpm_eps_1","eps_1","3.6708213806152346"
"0.05","5002","190","poc_ogpm_eps_1","eps_1","3.682423400878906"
"0.05","5002","199","poc_ogpm_eps_1","eps_1","3.640888214111328"
"0.05","5002","0","oort_official_ogpm_eps_1","eps_1","2.658990669250488"
"0.05","5002","10","oort_official_ogpm_eps_1","eps_1","2.7174551010131838"
"0.05","5002","20","oort_official_ogpm_eps_1","eps_1","2.7843713760375977"
"0.05","5002","30","oort_official_ogpm_eps_1","eps_1","2.7781908988952635"
"0.05","5002","40","oort_official_ogpm_eps_1","eps_1","3.8707147598266602"
"0.05","5002","50","oort_official_ogpm_eps_1","eps_1","3.8450016021728515"
"0.05","5002","60","oort_official_ogpm_eps_1","eps_1","3.6509772300720216"
"0.05","5002","70","oort_official_ogpm_eps_1","eps_1","3.891549301147461"
"0.05","5002","80","oort_official_ogpm_eps_1","eps_1","3.8163947105407714"
"0.05","5002","90","oort_official_ogpm_eps_1","eps_1","3.7378195762634276"
"0.05","5002","100","oort_official_ogpm_eps_1","eps_1","3.863677978515625"
"0.05","5002","110","oort_official_ogpm_eps_1","eps_1","4.056385040283203"
"0.05","5002","120","oort_official_ogpm_eps_1","eps_1","3.930728530883789"
"0.05","5002","130","oort_official_ogpm_eps_1","eps_1","3.9258037567138673"
"0.05","5002","140","oort_official_ogpm_eps_1","eps_1","3.805550384521484"
"0.05","5002","150","oort_official_ogpm_eps_1","eps_1","3.9773880004882813"
"0.05","5002","160","oort_official_ogpm_eps_1","eps_1","3.756612205505371"
"0.05","5002","170","oort_official_ogpm_eps_1","eps_1","3.9657726287841797"
"0.05","5002","180","oort_official_ogpm_eps_1","eps_1","3.8295356750488283"
